date,year,julian_day,latitude,longitude,temperature_mean_c,temperature_min_c,temperature_max_c,dewpoint_mean_c,u10_mean_ms,v10_mean_ms,wind_speed_mean_ms,surface_pressure_mean_pa,precipitation_total_mm
2025-02-03,2025,34,13.05,80.25,25.50123,22.53595,29.004456,21.381277,-0.3559723,0.1867326,1.3398504,101160.81,0.034332275
2025-02-13,2025,44,13.05,80.25,25.065546,21.950745,29.21988,21.489634,-0.26714072,1.4299349,2.1171477,101180.63,0.06580353
2025-02-18,2025,49,13.05,80.25,26.32219,23.594696,29.585663,22.200022,-0.4184761,1.781299,2.2168295,101229.336,0.008583069
2025-02-23,2025,54,13.05,80.25,27.055185,24.67096,30.486969,22.755882,-1.4366608,0.5281766,2.0843089,101312.27,0.0
