date,year,julian_day,latitude,longitude,prithvi_000,prithvi_001,prithvi_002,prithvi_003,prithvi_004,prithvi_005,prithvi_006,prithvi_007,prithvi_008,prithvi_009,prithvi_010,prithvi_011,prithvi_012,prithvi_013,prithvi_014,prithvi_015,prithvi_016,prithvi_017,prithvi_018,prithvi_019,prithvi_020,prithvi_021,prithvi_022,prithvi_023,prithvi_024,prithvi_025,prithvi_026,prithvi_027,prithvi_028,prithvi_029,prithvi_030,prithvi_031,prithvi_032,prithvi_033,prithvi_034,prithvi_035,prithvi_036,prithvi_037,prithvi_038,prithvi_039,prithvi_040,prithvi_041,prithvi_042,prithvi_043,prithvi_044,prithvi_045,prithvi_046,prithvi_047,prithvi_048,prithvi_049,prithvi_050,prithvi_051,prithvi_052,prithvi_053,prithvi_054,prithvi_055,prithvi_056,prithvi_057,prithvi_058,prithvi_059,prithvi_060,prithvi_061,prithvi_062,prithvi_063,prithvi_064,prithvi_065,prithvi_066,prithvi_067,prithvi_068,prithvi_069,prithvi_070,prithvi_071,prithvi_072,prithvi_073,prithvi_074,prithvi_075,prithvi_076,prithvi_077,prithvi_078,prithvi_079,prithvi_080,prithvi_081,prithvi_082,prithvi_083,prithvi_084,prithvi_085,prithvi_086,prithvi_087,prithvi_088,prithvi_089,prithvi_090,prithvi_091,prithvi_092,prithvi_093,prithvi_094,prithvi_095,prithvi_096,prithvi_097,prithvi_098,prithvi_099,prithvi_100,prithvi_101,prithvi_102,prithvi_103,prithvi_104,prithvi_105,prithvi_106,prithvi_107,prithvi_108,prithvi_109,prithvi_110,prithvi_111,prithvi_112,prithvi_113,prithvi_114,prithvi_115,prithvi_116,prithvi_117,prithvi_118,prithvi_119,prithvi_120,prithvi_121,prithvi_122,prithvi_123,prithvi_124,prithvi_125,prithvi_126,prithvi_127,prithvi_128,prithvi_129,prithvi_130,prithvi_131,prithvi_132,prithvi_133,prithvi_134,prithvi_135,prithvi_136,prithvi_137,prithvi_138,prithvi_139,prithvi_140,prithvi_141,prithvi_142,prithvi_143,prithvi_144,prithvi_145,prithvi_146,prithvi_147,prithvi_148,prithvi_149,prithvi_150,prithvi_151,prithvi_152,prithvi_153,prithvi_154,prithvi_155,prithvi_156,prithvi_157,prithvi_158,prithvi_159,prithvi_160,prithvi_161,prithvi_162,prithvi_163,prithvi_164,prithvi_165,prithvi_166,prithvi_167,prithvi_168,prithvi_169,prithvi_170,prithvi_171,prithvi_172,prithvi_173,prithvi_174,prithvi_175,prithvi_176,prithvi_177,prithvi_178,prithvi_179,prithvi_180,prithvi_181,prithvi_182,prithvi_183,prithvi_184,prithvi_185,prithvi_186,prithvi_187,prithvi_188,prithvi_189,prithvi_190,prithvi_191,era5_temperature_mean_c,era5_temperature_min_c,era5_temperature_max_c,era5_dewpoint_mean_c,era5_u10_mean_ms,era5_v10_mean_ms,era5_wind_speed_mean_ms,era5_surface_pressure_mean_pa,era5_precipitation_total_mm
2025-02-03,2025,34,13.050023105491404,80.24994113799862,0.45523894,0.4905559,-0.16388603,0.34668967,0.56582755,0.25569516,-0.8277078,0.5739248,0.497027,-0.55755645,-0.20382366,-0.53319615,-0.28324246,0.31987023,0.26366788,-0.2506499,0.2604071,-0.65695894,0.42541644,0.3282627,-0.32110554,0.13690972,-0.56375843,-0.23728934,0.19362983,0.31620562,-0.1018296,-0.55217665,-0.29195923,0.37228462,0.2291759,-0.33145127,-0.44277897,0.47075891,0.28514543,-0.24883085,-0.46023828,-1.4050016,0.19688909,-0.4910147,0.699642,0.38141018,0.8520042,1.0140698,1.0885897,0.3820887,0.41224283,-0.18190005,-0.06727671,1.0296901,0.03131405,0.33164868,-0.2994123,0.3688215,-0.3328695,0.43216,-1.1591694,0.30260375,-0.43691522,0.28005677,-0.41584286,0.27592692,0.45922068,-0.35589156,0.16072321,1.3809923,-0.30698174,-0.26331967,0.2534788,-0.057262607,0.25765347,-0.4591396,-0.46835193,-0.3376686,-0.9347044,-0.38846397,0.78152657,-0.3927515,0.2987652,-0.53885657,0.2294169,-0.96907085,0.24735713,-0.9084486,-0.15677847,1.1217248,0.026132826,0.18163459,0.39567378,0.49509832,0.69170034,-1.6869406,0.31622925,0.021156505,-0.21959107,-0.37127835,-0.39509693,-0.20401327,0.22620678,0.23182814,-0.1575599,-0.07420493,0.1710869,0.41380757,0.37402585,0.23406108,0.20647459,0.28670844,0.43529466,0.81113446,-0.83934516,0.36153266,0.27944422,-0.102562614,-0.2511599,1.34647,-0.3173444,0.67860866,-1.7310526,-0.35242552,0.767625,-0.3872042,0.37718293,-0.36529702,0.38836905,-0.28000745,0.35361272,-0.31499967,-0.34553486,0.3339863,-0.13690822,0.34396276,-0.2651555,-0.3117019,-0.6912825,0.29424894,0.06667336,-0.36074805,-0.2212305,0.22857478,0.5641768,0.21011104,-0.4353819,-0.2863252,0.25714114,-0.23316002,0.34461138,0.36316058,-0.039349087,0.29317194,0.75383204,-0.011700951,-0.20805758,-0.56363916,0.18428603,0.27245146,-0.28801584,-0.32043844,-0.70491385,-0.30061048,-0.0148560805,0.6636414,0.4429045,-1.235735,0.11809345,0.2473031,0.29071772,-0.38710046,0.31826782,-0.15495871,0.22186525,0.83316886,0.22070661,0.4843704,-0.39334276,-0.1744628,0.13865213,-0.2112234,-0.36091775,0.73256606,-0.3988377,-0.26390252,-0.8310576,0.18940233,-0.58294374,0.23251311,-0.5920247,0.37189695,-0.7056122,0.21900937,-0.37966317,0.274672,-0.6340697,-0.62748057,-1.0059019,-1.0305247,0.5551525,-1.2271643,-1.7150989,-1.026222,0.2790728
2025-02-13,2025,44,13.050023105491404,80.24994113799862,0.583013,0.7101197,-0.7379723,0.474198,0.619682,-0.9671907,-0.6281155,0.44132292,0.029393625,-0.828277,-0.64422137,-0.78315157,-0.63276386,0.5971037,0.6355631,-0.38139266,0.7071482,-0.69432473,0.374721,0.60309213,-0.5676784,0.22836217,-0.9262915,-0.41514337,0.674473,0.5555458,-0.64266086,1.7274343,-0.39672154,0.55519414,-0.72524893,-0.95974064,-0.6749476,0.5680267,0.6193283,-0.7562898,0.19087976,1.0090936,0.5486545,0.92913175,0.20409887,0.73513216,0.7427658,0.62887096,-0.03854631,0.61666256,0.6370031,-0.5047397,-0.781188,0.93900824,-0.6557713,0.65650386,-0.53121126,0.5354773,-0.5587739,0.30543157,-0.37944245,0.51097256,-0.89018077,0.6627539,-1.1438749,0.66290784,-0.507782,-0.5220301,0.50459373,-0.15803492,-0.5991273,0.062292457,0.7142517,0.3918207,0.4187759,-0.14112781,-0.63445824,-0.23290844,-1.0592687,0.67532396,0.90716684,-0.67076695,0.5857516,-0.86076814,0.61618507,-0.9518491,0.5983916,-0.41187656,-0.5735259,0.71118075,0.7965633,-0.113851726,0.48329824,0.86254585,0.28221446,0.83335686,0.56007624,-0.28473988,-0.50329655,-0.65964556,-0.5682233,-0.453165,0.5551197,0.58752376,-0.68283385,-0.42152038,0.59477615,0.5592535,0.56797457,0.5854723,0.45383316,0.351733,0.72552836,1.1722817,-1.1168423,0.8513457,0.41560626,-0.44117412,-0.576553,0.507537,-0.58605045,0.68504107,0.55125344,-0.7238838,0.061737426,-0.7060899,0.65048385,-0.6975238,0.48207557,-0.6472541,0.51201504,-0.6202679,-0.53908384,0.08918557,-0.81171846,0.4502853,-0.6372715,-0.5406042,-1.0929255,0.5284336,-0.3320222,-0.64236695,-0.5226061,0.8463917,0.19820659,0.6388044,-0.39114234,-0.5371781,0.5465234,-0.5976439,0.63925934,0.49191794,-0.46211484,0.740029,0.09385895,0.42573383,-1.2931194,-0.6507388,0.44639528,0.46191165,-0.51912457,-0.62073636,-0.1827762,-0.6049866,-0.9079449,0.39115196,0.33552513,-0.5848611,-0.9836321,0.5722704,0.49189672,-0.6236012,-0.17765845,-0.12656254,0.32790926,0.8834745,0.53252643,0.9838861,-0.49077928,-0.44426587,-0.23744936,-0.5402868,-0.557798,0.34686878,-0.658158,-0.64409876,-0.25898123,0.46590966,-0.917316,0.5868449,-0.68970126,0.38918507,-0.47227228,0.6003926,-0.827823,0.7616451,-1.2038937,-1.1905591,-0.6255925,-0.8364702,0.7422424,0.6923216,0.5079756,-0.6869562,1.506993
2025-02-18,2025,49,13.050023105491404,80.24994113799862,-1.7261621,-1.7260096,1.6801289,-1.6984683,-1.7314199,1.5275093,1.6924471,-1.7242751,-1.6073719,1.7035654,1.6857364,1.7155267,1.702963,-1.7076325,-1.6990614,1.6561661,-1.7011617,1.7180756,-1.6959264,-1.7096254,1.7052777,-1.572311,1.6707774,1.6601044,-1.6852099,-1.7030395,1.656666,-0.6887628,1.6710341,-1.7133505,1.5322571,1.6789037,1.7258544,-1.7269095,-1.7024544,1.6985902,-1.2283084,-0.4837057,-1.6732131,0.9640829,0.7851491,-1.7181797,-1.6490723,-1.6045914,0.5385107,-1.7190034,-1.7233357,1.6617305,1.6541249,-0.7392791,1.6110765,-1.712844,1.6965609,-1.7107911,1.7066659,-1.6817937,1.5843785,-1.6944963,1.6970109,-1.7038583,1.5867867,-1.7030528,1.3528306,1.7069224,-1.6551995,-1.4239037,1.7053107,-1.2970872,-1.6998712,-1.5433662,-1.6666473,1.639744,1.7282684,1.6397188,1.0872962,-1.4380127,-1.5994701,1.7213559,-1.7025064,-0.29749334,-1.6897191,1.3541095,-1.692342,-0.37266156,1.6651169,-1.4437971,-1.6414678,-1.4395497,-1.7090466,-1.7009017,-1.7050813,0.64524865,-1.70353,1.5253022,1.6723953,1.7187113,1.7179905,1.6584536,-1.6820649,-1.687448,1.6763383,1.6068934,-1.6720537,-1.7199349,-1.7147502,-1.6877768,-1.6593267,-1.659049,-1.7228588,-1.0124421,1.2377361,-1.7039286,-1.6718453,1.6222421,1.690953,-1.251615,1.7062445,-1.7163388,0.5474161,1.7155602,-1.6522238,1.7200745,-1.7193527,1.7178386,-1.707609,1.7031368,-1.7052414,1.7083353,1.7069672,1.1651787,1.672734,-1.6939503,1.6994905,1.7003934,0.2854973,-1.6950413,1.520138,1.7168981,1.6760069,-1.6893512,-1.6757585,-1.68689,1.7008722,1.6944009,-1.6887381,1.68885,-1.7143484,-1.7043613,1.6033531,-1.7066962,0.81382,1.1591648,-0.010265822,1.7300186,-1.6509849,-1.6791958,1.6923327,1.709357,-0.7962543,1.7045116,1.6339267,-1.7211907,-1.6908062,1.396927,1.5825394,-1.6895322,-1.6888584,1.7199528,1.3184456,1.5408223,-1.6335856,-1.5835356,-1.6773901,-1.6613463,1.7096535,1.6474186,1.4493116,1.6759651,1.711672,-1.7145452,1.7220508,1.699645,1.6957105,-1.6566291,1.6702708,-1.6875437,1.7253925,-1.6883264,1.7259035,-1.6856033,1.7086306,-1.7029524,0.43964887,0.3912348,0.020163026,0.4357567,0.42351198,1.2348226,0.79306626,0.14669865,-0.7255893
2025-02-23,2025,54,13.050023105491404,80.24994113799862,0.68790835,0.52533394,-0.7782704,0.8775807,0.5459108,-0.81601316,-0.23662885,0.7090274,1.0809513,-0.3177312,-0.8376916,-0.39917824,-0.7869566,0.7906587,0.7998306,-1.024123,0.7336064,-0.3667897,0.8957894,0.77827024,-0.8164932,1.2070396,-0.18072937,-1.0076722,0.8171057,0.83128756,-0.91218174,-0.48649484,-0.98235244,0.7858711,-1.0361856,-0.3877119,-0.60812765,0.6881243,0.7979809,-0.6934697,1.4976664,0.87961864,0.9276695,-1.4021994,-1.6889007,0.6016358,0.05430001,-0.038350966,-1.5885504,0.72025216,0.67408967,-0.97509086,-0.8056609,-1.2294179,-0.9866186,0.72469085,-0.86593765,0.80649173,-0.8150226,0.9442029,-0.045764092,0.88092,-0.36991513,0.76104736,-0.02706652,0.764218,-1.304271,-0.8290003,0.9898826,0.20095694,-0.79920185,1.4981143,0.7321415,1.2088084,0.9902163,-1.0394771,-0.625458,-1.069138,0.9066778,1.1511528,-0.08922054,-0.65783876,0.81798935,1.697118,0.84411687,0.56680906,0.84659344,1.6929862,-0.9348126,-0.38910857,0.81877166,1.3717666,0.83007497,0.34325752,0.73116565,0.20833258,0.82722396,-1.2617168,-0.94950825,-0.68778735,-0.7546715,-1.0012753,0.900739,0.8680962,-0.8359444,-1.111174,0.90620464,0.74687517,0.77274936,0.8682437,0.9990191,1.0206066,0.56203604,-0.9709672,0.7184515,0.49105197,0.9767886,-1.0785067,-0.86324024,-0.6023988,-0.80284965,0.3526893,0.632386,-0.63925093,0.82285863,-0.62678033,0.69168615,-0.65501827,0.8371642,-0.7758755,0.83961314,-0.7730676,-0.8223485,-1.5883505,-0.72410643,0.8997029,-0.7970631,-0.84808695,1.4987106,0.8723589,-1.2547892,-0.7137832,-0.9321699,0.61438376,0.91337436,0.83796453,-0.8743476,-0.87089807,0.88507307,-0.8580463,0.73047924,0.84928423,-1.1018894,0.6734953,-1.6615126,-1.5731976,1.5114392,-0.5156407,1.0203032,0.94483304,-0.88519245,-0.76818216,1.6839443,-0.7989145,-0.71112514,0.66639537,0.9123776,0.42366433,-0.71700156,0.8699592,0.9062439,-0.70925087,-1.4590559,-1.2593,1.0838125,-0.13310805,0.92415696,0.1930854,-0.8255314,-1.0286899,-1.3505143,-0.9244548,-0.7929559,0.6351088,-0.6650547,-0.7916434,-0.60567135,1.0013168,-0.17001072,0.8681859,-0.44366616,0.92724407,-0.5480216,0.8662014,-0.5011444,0.6666371,1.398322,1.4268049,1.6113315,1.4312416,-1.7209065,-0.6999798,0.4140564,1.5663458,-1.0604765
