date,latitude_twin,longitude_twin,prithvi_anomaly_score,era5_anomaly_score,prithvi_relative_severity,era5_relative_severity,multimodal_twin_score,dominant_signal,signal_agreement,twin_event_class
2025-02-03,13.050023105491404,80.24994113799862,7.628764,1.0793163,0.0,1.0,0.5,ERA5,0.0,MODERATE
2025-02-13,13.050023105491404,80.24994113799862,9.223173,0.63204414,0.10940835,0.0,0.054704174,PRITHVI,0.8905916,NORMAL
2025-02-18,13.050023105491404,80.24994113799862,22.201775,0.7436472,1.0,0.24951942,0.62475973,PRITHVI,0.24951941,MODERATE
2025-02-23,13.050023105491404,80.24994113799862,12.954389,0.69944465,0.36544436,0.15069242,0.25806838,PRITHVI,0.78524804,MILD
